ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
302	CONDUIT FLEX UA/LT 1/2-IN GY 500R	45	43.06	13.56	31.5
615	CONDUIT FLEX UA/LT 2-IN GY 100R	6	20.98	3.65	17.4
705	CONDUIT FLEX UA/LT 3/4-IN GY 500R	60	73.77	20.56	27.9
213	CONDUIT GRC 10FT 1-1/4-IN	10	26.47	6.43	24.3
573	CONDUIT GRC 10FT 2-IN	50	202.35	40.68	20.1
733	CONDUIT GRC 10FT 3-IN	10	86.77	17.59	20.3
682	CONDUIT GRC 10FT 3/4-IN	50	64.00	13.48	21.1
952	CONDUIT GRC 10FT 4-IN	10	119.35	23.74	19.9
217	CONDUIT GRC CPL 1-1/4-IN	1	1.93	0.93	48.2
448	CONDUIT GRC CPL 1-IN	2	3.09	1.49	48.2
579	CONDUIT GRC CPL 2-IN	4	12.88	5.51	42.8
685	CONDUIT GRC CPL 3/4-IN	4	4.17	2.01	48.2
447	CONDUIT GRC ELB 90DEG 1-IN	1	5.55	2.68	48.3
577	CONDUIT GRC ELB 90DEG 2-IN	2	24.54	7.81	31.8
622	CONDUIT GRC NIP 2 X 12-IN	2	18.72	6.42	34.3
485	CONDUIT GRC NIP CLOSE 1 X 1-1/2	3	3.61	1.77	49.0
3588	CWD CR15V-BU 125V DPLX RCPT	12	13.98	4.64	33.2
3594	CWD CR20V-BU 20A 125V IV DPLX RCP	20	27.14	10.14	37.4
34818	CWD CS120GY SP 20A COMM SWITCH	1	1.77	0.39	22.0
